"","unique_id","dfs.fid","dfs.prior.1","dfs.prior.2","dfs.prior.3","fid","length","speed.fid","speed.prior.1","speed.prior.2","speed.prior.3","Treatment","opcode","family","genus","species","activity","school_individual","DFSAvg","speed.priorAvg","scientific"
"57","Perspex 2LIZARD3_CAM2_RIG1",308.098,189.075,158.363,208.929,846.077,243.527,0.254408,0.102277,0.133026,0.0234226666666667,"Perspex","LIZARD3_CAM2_RIG1","Lutjanidae","Lutjanus","fulviflamma","C- turn","Individual",185.455666666667,0.0862418888888889,"Lutjanus.fulviflamma"
"58","Perspex 2LIZARD4_CAM4_RIG1",NA,708.84,630.485,646.411,1659.149,463.702,NA,NA,NA,NA,"Turtle","LIZARD4_CAM4_RIG1","Haemulidae","Plectorhinchus","chrysotaenia","no response","Individual",661.912,NA,"Plectorhinchus.chrysotaenia"
"59","Perspex 2LIZARD4_CAM5_RIG1",281.864,651.562,640.143,635.395,831.105,260.48,0.355468518518519,0.222374333333333,0.209961333333333,0.197892666666667,"Perspex","LIZARD4_CAM5_RIG1","Lutjanidae","Lutjanus","fulviflamma","C- turn","Individual",642.366666666667,0.210076111111111,"Lutjanus.fulviflamma"
"60","Perspex 3aLIZARD1_CAM2_RIG3",310.596,98.609,106.645,69.048,782.315,92.776,NA,NA,0.0319066666666667,0.0469353333333333,"Perspex","LIZARD1_CAM2_RIG3","Lutjanidae","Lutjanus","spp","no response","School",91.434,0.039421,"Lutjanus.spp"
"61","Perspex 3aLIZARD1_CAM4_RIG2",226.764,66.556,61.825,265.382,1284.466,103.769,NA,NA,0.035071,0.0311423333333333,"Perspex","LIZARD1_CAM4_RIG2","Lutjanidae","Lutjanus","spp","no response","School",131.254333333333,0.0331066666666667,"Lutjanus.spp"
"62","Perspex 3aLIZARD4_CAM5_RIG1",608.868,749.129,780.489,764.113,2149.253,243.246,0.59135974025974,0.0326773333333333,0.186363333333333,NA,"Perspex","LIZARD4_CAM5_RIG1","Lutjanidae","Lutjanus","fulviflamma","flight","School",764.577,0.109520333333333,"Lutjanus.fulviflamma"
"63","Perspex 3bLIZARD1_CAM2_RIG3",107.263,NA,NA,NA,827.549,94.917,NA,NA,NA,NA,"Perspex","LIZARD1_CAM2_RIG3","Lutjanidae","Lutjanus","spp","no response","School",NA,NA,"Lutjanus.spp"
"64","Perspex 3bLIZARD1_CAM4_RIG2",97.75,109.731,154.107,103.464,1213.658,144.42,NA,NA,NA,NA,"Perspex","LIZARD1_CAM4_RIG2","Lutjanidae","Lutjanus","spp","no response","School",122.434,NA,"Lutjanus.spp"
"65","Perspex 3bLIZARD4_CAM5_RIG1",458.381,307.491,277.117,510.796,2159.205,257.292,0.20626038961039,0.044649,0.0491223333333333,NA,"Perspex","LIZARD4_CAM5_RIG1","Lutjanidae","Lutjanus","fulviflamma","flight","School",365.134666666667,0.0468856666666667,"Lutjanus.fulviflamma"
"66","Perspex 3cLIZARD1_CAM2_RIG3",83.733,NA,NA,NA,848.275,82.669,NA,NA,NA,NA,"Perspex","LIZARD1_CAM2_RIG3","Lutjanidae","Lutjanus","spp","no response","School",NA,NA,"Lutjanus.spp"
"67","Perspex 3cLIZARD1_CAM4_RIG2",183.358,169.327,165.271,169.201,1129.939,102.232,NA,NA,0.0196683333333333,NA,"Perspex","LIZARD1_CAM4_RIG2","Lutjanidae","Lutjanus","spp","no response","School",167.933,0.0196683333333333,"Lutjanus.spp"
"68","Perspex 3cLIZARD4_CAM5_RIG1",665.911,931.332,736.957,808.572,1858.065,264.79,0.537731168831169,0.0956436666666667,0.145011,0.112287666666667,"Perspex","LIZARD4_CAM5_RIG1","Lutjanidae","Lutjanus","fulviflamma","flight","School",825.620333333333,0.117647444444444,"Lutjanus.fulviflamma"
"69","Perspex 3LIZARD2_CAM2_RIG1",243.027,183.556,114.664,142.403,1352.928,245.944,NA,NA,NA,0.05309,"Perspex","LIZARD2_CAM2_RIG1","Haemulidae","Diagramma","pictum","flight","Individual",146.874333333333,0.05309,"Diagramma.pictum"
"70","Perspex 3LIZARD2_CAM5_RIG3",84.67,120.721,98.118,89.911,1037.27,237.858,NA,0.0478203333333333,0.045427,NA,"Perspex","LIZARD2_CAM5_RIG3","Lutjanidae","Lutjanus","carponotatus","no response","Individual",102.916666666667,0.0466236666666667,"Lutjanus.carponotatus"
"71","Perspex 3LIZARD3_CAM2_RIG1",142.893,296.336,230.079,246.789,904.668,259.393,0.169244444444444,0.138961,0.08985,0.0900343333333333,"Perspex","LIZARD3_CAM2_RIG1","Lutjanidae","Lutjanus","fulviflamma","C- turn","Individual",257.734666666667,0.106281777777778,"Lutjanus.fulviflamma"
"72","Perspex 4LIZARD2_CAM2_RIG1",214.81,106.283,75.149,187.935,1197.883,249.786,NA,NA,NA,NA,"Perspex","LIZARD2_CAM2_RIG1","Haemulidae","Diagramma","pictum","flight","Individual",123.122333333333,NA,"Diagramma.pictum"
"73","Perspex 4LIZARD3_CAM2_RIG1",237.653,368.471,368.885,390.061,909.594,258.433,0.220987096774194,0.291556666666667,NA,0.128642333333333,"Perspex","LIZARD3_CAM2_RIG1","Lutjanidae","Lutjanus","fulviflamma","no response","Individual",375.805666666667,0.2100995,"Lutjanus.fulviflamma"
"74","Pipe 1aLIZARD1_CAM2_RIG3",221.122,NA,99.882,192.642,838.987,99.517,0.193025757575758,0.089573,0.095971,0.0404,"Pipe","LIZARD1_CAM2_RIG3","Lutjanidae","Lutjanus","spp","hide","School",146.262,0.0753146666666667,"Lutjanus.spp"
"75","Pipe 1aLIZARD3_CAM3_RIG2",NA,201.043,201.581,226.495,1309.66,201.722,0.192631097560976,0.075746,0.131485,0.133308,"Pipe","LIZARD3_CAM3_RIG2","Lutjanidae","Lutjanus","fulviflamma","flight","School",209.706333333333,0.113513,"Lutjanus.fulviflamma"
"76","Pipe 1bLIZARD1_CAM2_RIG3",92.899,NA,98.763,104.573,967.251,84.482,0.0651267759562842,0.054385,0.0458073333333333,0.0458446666666667,"Pipe","LIZARD1_CAM2_RIG3","Lutjanidae","Lutjanus","spp","C- turn","School",101.668,0.048679,"Lutjanus.spp"
