"","uniqueID","FID","Length","Treatment","Genus","Species","Activity","School.Individual","speed.FID","SpeedAvg","DFS.FID","DFSAvg"
"91","Pipe 1LIZARD1_CAM11_RIG1",1254.08,NA,"Pipe","Plectorhinchus","chrysotaenia","no response","Individual",0,0,177.256,183.496333333333
"92","Pipe 1LIZARD1_CAM4_RIG2",788.226,117.374,"Pipe","Lutjanus","sp","no response","Individual",0,0,209.783,167.046
"93","Pipe 1LIZARD1_CAM6_RIG1",1997.694,252.147,"Pipe","Diagramma","pictum","flight","Individual",0.106192771,0.063629,527.034,442.178666666667
"94","Pipe 1LIZARD2_CAM2_RIG1",1772.207,244.881,"Pipe","Diagramma","pictum","flight","Individual",2.2447625,0.0774851113333333,146.823,162.865
"95","Pipe 1LIZARD2_CAM3_RIG1",961.861,251.248,"Pipe","Diagramma","pictum","no response","Individual",NA,NA,114.789,188.3145
"96","Pipe 1LIZARD2_CAM4_RIG1",1398.393,279.703,"Pipe","Diagramma","pictum","no response","Individual",0,0,219.086,255.525
"97","Pipe 1LIZARD2_CAM5_RIG3",693.875,NA,"Pipe","Diagramma","pictum","flight","Individual",0.058742601,0.0639731665,NA,NA
"98","Pipe 1LIZARD2_CAM5_RIG3",693.875,NA,"Perspex","Diagramma","pictum","flight","Individual",0.058742601,0.0639731665,NA,NA
"99","Pipe 1LIZARD3_CAM1_RIG1",700.431,358.941,"Pipe","Plectorhinchus","chrysotaenia","no response","Individual",NA,0,565.624,535.081666666667
"100","Pipe 1LIZARD3_CAM2_RIG1",2023.512,255.786,"Pipe","Lutjanus","fulviflamma","no response","Individual",NA,0.160357111,226.034,129.620333333333
"101","Pipe 1LIZARD4_CAM2_RIG3",1158.118,NA,"Pipe","Lethrinus","atkinsoni","flight","Individual",0,0,145.764,322.361
"102","Pipe 1LIZARD4_CAM4_RIG1",1409.628,619.959,"Pipe","Plectropomus","sp","swim backwards","Individual",0.156403883,0,179.906,214.917333333333
"103","Pipe 1LIZARD4_CAM5_RIG1",1930.367,608.5,"Pipe","Lutjanus","bohar","flight","Individual",0.348994,0.155799,239.348,556.273
"104","Pipe 1LIZARD5_CAM2_RIG3",659.651,403.011,"Pipe","Plectropomus","sp","no response","Individual",0,0,132.462,107.763666666667
"105","Pipe 2LIZARD1_CAM2_RIG3",744.946,194.236,"Pipe","Lutjanus","fulviflamma","hide","Individual",0.069852161,0.048986778,167.103,182.409
"106","Pipe 2LIZARD1_CAM2_RIG3",744.946,194.236,"Perspex","Lutjanus","fulviflamma","hide","Individual",0.069852161,0.048986778,167.103,182.409
"107","Pipe 2LIZARD1_CAM4_RIG2",1001.676,191.812,"Pipe","Lutjanus","fulviflamma","hide","Individual",0.124378,0.0228954443333333,285.806,191.697
"108","Pipe 2LIZARD1_CAM4_RIG2",1001.676,191.812,"Pipe","Lutjanus","sp","hide","Individual",0.124378,0.0228954443333333,285.806,191.697
"109","Pipe 2LIZARD1_CAM4_RIG2",1001.676,191.812,"Diver","Lutjanus","fulviflamma","hide","Individual",0.124378,0.0228954443333333,285.806,191.697
"110","Pipe 2LIZARD1_CAM6_RIG1",2214.918,239.683,"Pipe","Diagramma","pictum","flight","Individual",0.177294578,0.0816903333333333,350.723,299.915666666667
"111","Pipe 2LIZARD2_CAM2_RIG1",1714.327,243.81,"Pipe","Diagramma","pictum","C- turn","Individual",1.497311111,0.117274222333333,104.658,112.508333333333
"112","Pipe 2LIZARD2_CAM3_RIG1",1903.993,266.391,"Pipe","Diagramma","pictum","C- turn","Individual",0.081474286,0.0166996666666667,94.727,100.535
"113","Pipe 2LIZARD2_CAM4_RIG1",2172.642,194.865,"Pipe","Diagramma","pictum","no response","Individual",0,0,119.869,154.936666666667
"114","Pipe 2LIZARD2_CAM4_RIG1",2172.642,194.865,"Pipe","Lutjanus","sp","no response","Individual",0,0,119.869,154.936666666667
"115","Pipe 2LIZARD2_CAM5_RIG3",551.083,NA,"Pipe","Plectorhinchus","chrysotaenia","flight","Individual",0.128800897,0,0,0
"116","Pipe 2LIZARD3_CAM1_RIG1",1549.525,487.285,"Pipe","Plectorhinchus","chrysotaenia","no response","Individual",NA,0,939.995,522.809333333333
"117","Pipe 2LIZARD3_CAM1_RIG1",1549.525,487.285,"Pipe","Plectorhinchus","albovittatus","no response","Individual",NA,0,939.995,522.809333333333
