"","unique_id","dfs.fid","dfs.prior.1","dfs.prior.2","dfs.prior.3","fid","length","speed.fid","speed.prior.1","speed.prior.2","speed.prior.3","Treatment","opcode","family","genus","species","activity","school_individual","DFSAvg","speed.priorAvg","scientific","site"
"43","Perspex 2LIZARD3_CAM1_RIG1",110.805,NA,NA,NA,1972.512,485.032,NA,0,0,0,"Pipe","LIZARD3_CAM1_RIG1","Haemulidae","Plectorhinchus","albovittatus","no response","Individual",NA,0,"Plectorhinchus.albovittatus","3"
"44","Perspex 2LIZARD3_CAM2_RIG1",308.098,189.075,158.363,208.929,846.077,243.527,0.254408,0.102277,0.133026,0.0234226666666667,"Perspex","LIZARD3_CAM2_RIG1","Lutjanidae","Lutjanus","fulviflamma","C- turn","Individual",185.455666666667,0.0862418888888889,"Lutjanus.fulviflamma","3"
"45","Perspex 2LIZARD4_CAM4_RIG1",NA,708.84,630.485,646.411,1659.149,463.702,NA,0,0,0,"Turtle","LIZARD4_CAM4_RIG1","Haemulidae","Plectorhinchus","chrysotaenia","no response","Individual",661.912,0,"Plectorhinchus.chrysotaenia","4"
"46","Perspex 2LIZARD4_CAM5_RIG1",281.864,651.562,640.143,635.395,831.105,260.48,0.355468518518519,0.222374333333333,0.209961333333333,0.197892666666667,"Perspex","LIZARD4_CAM5_RIG1","Lutjanidae","Lutjanus","fulviflamma","C- turn","Individual",642.366666666667,0.210076111111111,"Lutjanus.fulviflamma","4"
"47","Perspex 3LIZARD2_CAM2_RIG1",243.027,183.556,114.664,142.403,1352.928,245.944,NA,NA,NA,0.05309,"Perspex","LIZARD2_CAM2_RIG1","Haemulidae","Diagramma","pictum","flight","Individual",146.874333333333,0.05309,"Diagramma.pictum","2"
"48","Perspex 3LIZARD2_CAM5_RIG3",84.67,120.721,98.118,89.911,1037.27,237.858,NA,0.0478203333333333,0.045427,0,"Perspex","LIZARD2_CAM5_RIG3","Lutjanidae","Lutjanus","carponotatus","no response","Individual",102.916666666667,0.0310824444444444,"Lutjanus.carponotatus","2"
"49","Perspex 3LIZARD3_CAM2_RIG1",142.893,296.336,230.079,246.789,904.668,259.393,0.169244444444444,0.138961,0.08985,0.0900343333333333,"Perspex","LIZARD3_CAM2_RIG1","Lutjanidae","Lutjanus","fulviflamma","C- turn","Individual",257.734666666667,0.106281777777778,"Lutjanus.fulviflamma","3"
"50","Perspex 4LIZARD2_CAM2_RIG1",214.81,106.283,75.149,187.935,1197.883,249.786,NA,NA,NA,NA,"Perspex","LIZARD2_CAM2_RIG1","Haemulidae","Diagramma","pictum","flight","Individual",123.122333333333,NA,"Diagramma.pictum","2"
"51","Perspex 4LIZARD3_CAM2_RIG1",237.653,368.471,368.885,390.061,909.594,258.433,0.220987096774194,0.291556666666667,0,0.128642333333333,"Perspex","LIZARD3_CAM2_RIG1","Lutjanidae","Lutjanus","fulviflamma","no response","Individual",375.805666666667,0.140066333333333,"Lutjanus.fulviflamma","3"
"52","Pipe 1LIZARD1_CAM11_RIG1",177.256,178.577,190.081,181.831,1254.08,NA,NA,0,0,0,"Pipe","LIZARD1_CAM11_RIG1","Haemulidae","Plectorhinchus","chrysotaenia","no response","Individual",183.496333333333,0,"Plectorhinchus.chrysotaenia","1"
